Comment,Designator,Footprint,LCSC,Quantity
0603WAF1000T5E,R1,R0603,C22775,1
0603WAF1001T5E,"R12,R15,R18,R20,R21,R24",R0603,C21190,6
0603WAF1002T5E,"R11,R19",R0603,C25804,2
0603WAF1003T5E,"R13,R14,R22",R0603,C25803,3
0603WAF5101T5E,"R16,R17,R23,R25",R0603,C23186,4
0805G,LED3,LED0805-R-RD,C2297,1
1N4148W_C81598,D1,SOD-123F_L2.7-W1.6-LS3.8-RD,C81598,1
2N7002,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C8545,1
BAT54C_C22466350,U10,SOT-23-3_L2.9-W1.3-P1.90-LS2.8-BR,C22466350,1
CC0603KRX7R9BB104,"C15,C16,C18,C21,C23,C24,C25,C26,C27,C28,C29,C30",C0603,C14663,12
CL10C200JB8NNNC,"C19,C20",C0603,C1648,2
CL21B105KBFNNNE,"C14,C22",C0805,C28323,2
CP2102-GMR,U7,WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,C6568,1
CR2032-BS-6,U11,BAT-TH_CR2032-BS-6-1,C22363833,1
DSHP02TS-S,SW4,SW-SMD_DSHP02TS-S,C319052,1
FC-2012HRK-620D,LED4,LED0805-RD,C84256,1
G6K-2F-Y-DC5,K1,RELAY-SMD_G6K-2F-X-XX,C47190,1
H3V3U10B,U2,DFN1006-2L-BI,C20615782,1
"PCF8563T/5,518",U9,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C7440,1
Q13FC1350000400,X3,FC-135R_L3.2-W1.5,C32346,1
SHT30-DIS-B,U8,DFN-8_L2.5-W2.5-P0.50-BL-EP,C77361,1
STC3MD20-T1,C17,CAP-SMD_L4.5-W3.2_STC3MD20-T1,C22468122,1
STM32F103C8T6,U3,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C8734,1
TS-1088-AR02016,SW3,SW-SMD_L3.9-W3.0-P4.45,C720477,1
TYPE-C 16PIN 2MD,USB2,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
X50328MSB2GI,X2,CRYSTAL-SMD_L5.0-W3.2,C115962,1
XC6206P332MR,U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5446,1
